emp_no,first_name,last_name,birth_date,title,from_date,to_date
10095,Hilari,Morton,1/3/1965,Staff,3/10/1994,1/1/9999
10122,Ohad,Esposito,1/19/1965,Technique Leader,8/6/1998,1/1/9999
10291,Dipayan,Seghrouchni,1/23/1965,Staff,3/30/1987,1/1/9999
10410,Takahito,Gecsei,1/19/1965,Staff,10/16/1993,7/21/1996
10476,Kokou,Iisaka,1/1/1965,Staff,9/20/1987,1/1/9999
10480,Make,Baba,1/25/1965,Staff,5/18/1988,6/3/1989
10663,Teunis,Noriega,1/9/1965,Technique Leader,2/12/1999,1/1/9999
10762,Lech,Himler,1/19/1965,Staff,1/21/1992,1/1/9999
10933,Juyoung,Seghrouchni,1/24/1965,Senior Engineer,8/2/1993,1/1/9999
11015,Jeanna,Riesenhuber,1/24/1965,Senior Staff,3/14/1998,2/22/2000
11126,Hideo,Daescu,1/8/1965,Senior Staff,2/25/1992,4/4/2002
11157,Mario,Cochrane,2/1/1965,Engineer,3/30/1985,2/6/1991
11432,Yongmao,Zwicker,1/15/1965,Senior Engineer,10/19/1987,9/13/1997
12155,Keiichiro,Glinert,1/21/1965,Engineer,9/16/1993,1/1/9999
12408,Rasiah,Sudkamp,1/10/1965,Senior Engineer,4/18/1995,1/1/9999
12643,Morrie,Schurmann,1/30/1965,Staff,12/31/1998,1/1/9999
13499,Kazuhiko,Sidou,1/16/1965,Technique Leader,9/1/1991,1/1/9999
13957,Angus,Chelton,1/10/1965,Senior Engineer,4/18/1986,2/2/1987
14075,Denny,Tchuente,1/3/1965,Engineer,5/30/1991,1/1/9999
14104,Sudhanshu,Demian,1/3/1965,Senior Staff,7/23/1994,1/1/9999
14127,Magdalena,Cannard,1/10/1965,Engineer,4/22/1994,1/1/9999
14158,Caolyn,Setiz,1/22/1965,Staff,2/6/1990,1/1/9999
14476,Sastry,Marrevee,1/19/1965,Engineer,9/25/1999,1/1/9999
14551,Richard,Sinitsyn,1/18/1965,Senior Staff,6/27/1993,9/16/1993
14907,Nakhoon,Luga,1/14/1965,Staff,12/18/1986,1/1/9999
15050,Nikolaos,Kruskal,1/18/1965,Senior Engineer,12/17/1990,1/1/9999
15058,Bouchung,Bugrara,1/30/1965,Staff,6/18/1990,1/1/9999
15376,Geoff,Soicher,1/10/1965,Staff,8/14/1988,3/1/2001
15413,Arvin,Rabejac,1/17/1965,Senior Engineer,1/1/1994,1/1/9999
16461,Remmert,Schahn,1/14/1965,Senior Staff,9/6/1986,1/1/9999
16528,Gaurav,Swick,1/21/1965,Engineer,5/7/1996,1/1/9999
17013,Morris,Garigliano,1/15/1965,Staff,5/24/1995,1/1/9999
17206,Berry,DeMori,1/2/1965,Engineer,12/27/1992,1/1/9999
17369,Yaghout,Kenevan,1/31/1965,Engineer,9/15/2000,1/1/9999
17447,Zengping,Boreale,1/11/1965,Staff,12/16/1998,1/1/9999
17618,Teiji,Picco,1/12/1965,Staff,9/17/1992,11/8/1999
17731,Gennady,Roison,1/16/1965,Assistant Engineer,12/6/1989,1/1/9999
17799,Gro,Gini,1/28/1965,Engineer,9/28/1997,7/11/2001
17970,Filipp,Carrere,1/6/1965,Technique Leader,1/9/1989,1/1/9999
17988,Mabhin,Calkin,1/31/1965,Engineer,11/30/1989,1/1/9999
18021,Adil,Matzke,1/7/1965,Senior Engineer,5/8/1987,1/1/9999
18187,Denis,Falster,1/8/1965,Staff,12/21/1998,6/3/1999
18424,Filipp,Rousseau,1/19/1965,Senior Engineer,6/7/1995,1/1/9999
18583,Stafford,Honglei,1/3/1965,Staff,8/16/1998,1/1/9999
18617,Surveyors,Crouzet,1/21/1965,Staff,4/24/1989,1/1/9999
18810,Taiji,Jarecki,1/9/1965,Senior Engineer,6/27/1991,1/1/9999
19236,Elzbieta,Morris,1/24/1965,Engineer,7/12/1988,1/1/9999
19350,Satoru,Yoshizawa,1/19/1965,Staff,3/27/1994,1/1/9999
19803,Ziva,Kowalchuk,1/30/1965,Engineer,6/13/1987,1/1/9999
20100,Utz,Heuter,1/18/1965,Staff,6/15/1986,1/1/9999
20128,Kazunori,Peak,1/23/1965,Senior Staff,8/13/1999,1/1/9999
20129,Rafael,Skafidas,1/10/1965,Senior Engineer,3/28/1991,1/1/9999
20248,Vidar,Demri,1/12/1965,Staff,12/31/1999,1/1/9999
20313,Candida,Benveniste,1/24/1965,Engineer,1/20/1999,1/1/9999
20500,Christoph,Trystram,1/30/1965,Staff,10/15/1993,1/1/9999
20712,Valeri,Escriba,1/26/1965,Engineer,4/9/1994,5/2/1998
20720,Heejo,Brodie,1/17/1965,Senior Staff,12/27/1996,5/17/1997
20885,Otmar,Rothenberg,1/21/1965,Engineer,3/14/1989,1/1/9999
21181,Jianhui,Cangellaris,1/21/1965,Engineer,10/6/1991,1/1/9999
21188,Piyush,Danecki,1/21/1965,Engineer,1/8/2000,1/1/9999
21534,Alagu,Luders,1/12/1965,Staff,4/3/1996,12/14/1997
21546,Yongmin,Lanteri,1/1/1965,Senior Staff,2/16/1988,3/19/2002
21843,Karsten,Azadmanesh,1/9/1965,Senior Engineer,11/29/1985,1/1/9999
21909,Mohammed,Brizzi,1/4/1965,Staff,12/28/1991,1/1/9999
22027,Sangeeta,Georg,1/27/1965,Staff,7/31/1992,3/14/1998
22185,Huai,Birch,1/29/1965,Assistant Engineer,3/26/1996,6/12/2002
22415,Perla,Jumpertz,1/20/1965,Senior Staff,8/24/1994,1/1/9999
22451,Jasminko,Bresenham,1/27/1965,Staff,1/19/1994,1/1/9999
22455,Barry,Unno,1/6/1965,Staff,11/16/1990,1/1/9999
22502,Rutger,Binkley,1/29/1965,Senior Engineer,10/16/1989,11/2/2001
22926,Manibrata,Genther,1/1/1965,Engineer,1/15/1988,1/1/9999
23396,Hilari,Fairtlough,1/2/1965,Technique Leader,12/15/1986,1/1/9999
24080,Jaana,Perez,1/26/1965,Technique Leader,3/11/1996,1/1/9999
24189,Abdelaziz,Atrawala,1/16/1965,Staff,3/28/1993,2/23/1997
24205,Roddy,Rubsam,1/25/1965,Senior Engineer,9/19/1993,1/1/9999
24377,Lubomir,Wroclawski,1/25/1965,Senior Engineer,7/25/1993,1/1/9999
24394,Zhonghui,Conta,1/4/1965,Staff,9/10/1994,1/1/9999
24421,Dannz,Grospietsch,1/10/1965,Senior Engineer,9/1/1990,10/12/2000
24553,Anwar,Passafiume,1/12/1965,Senior Staff,1/30/1987,1/1/9999
24571,Cordelia,Gischer,1/20/1965,Senior Engineer,3/14/1989,1/1/9999
